species	Run01_soil_barcode01	Run01_soil_barcode02	Run01_soil_barcode03	Run01_soil_barcode04	Run01_soil_barcode05	Run01_soil_barcode06	Run01_soil_barcode07	Run01_soil_barcode08	Run01_soil_barcode09	Run01_soil_barcode10	Run01_soil_barcode11	Run01_soil_barcode12	Run01_soil_barcode13	Run01_soil_barcode14	Run01_soil_barcode15	Run01_soil_barcode16	Run01_soil_barcode17	Run01_soil_barcode18	Run01_soil_barcode19	Run01_soil_barcode20	Run01_soil_barcode21	Run01_soil_barcode22	Run01_soil_barcode23	Run01_soil_barcode24	Run02_soil_barcode01	Run02_soil_barcode02	Run02_soil_barcode03	Run02_soil_barcode04	Run02_soil_barcode05	Run02_soil_barcode06	Run02_soil_barcode07	Run02_soil_barcode08	Run02_soil_barcode09	Run02_soil_barcode10	Run02_soil_barcode11	Run02_soil_barcode12	Run02_soil_barcode13	Run02_soil_barcode14	Run02_soil_barcode15	Run02_soil_barcode16	Run02_soil_barcode17	Run02_soil_barcode18	Run02_soil_barcode19	Run02_soil_barcode20	Run02_soil_barcode21	Run02_soil_barcode22	Run03_swab_barcode01	Run03_swab_barcode02	Run03_swab_barcode03	Run03_swab_barcode04	Run03_swab_barcode05	Run03_swab_barcode06	Run03_swab_barcode07	Run03_swab_barcode08	Run03_swab_barcode09	Run03_swab_barcode10	Run03_swab_barcode11	Run03_swab_barcode12	Run03_swab_barcode13	Run03_swab_barcode14	Run03_swab_barcode15	Run03_swab_barcode16	Run03_swab_barcode17	Run03_swab_barcode18	Run03_swab_barcode19	Run03_swab_barcode20	Run03_swab_barcode21	Run03_swab_barcode22	Run03_swab_barcode23	Run03_swab_barcode24	Run04_swab_barcode01	Run04_swab_barcode02	Run04_swab_barcode03	Run04_swab_barcode04	Run04_swab_barcode05	Run04_swab_barcode06	Run04_swab_barcode07	Run04_swab_barcode08	Run04_swab_barcode09	Run04_swab_barcode10	Run04_swab_barcode11	Run04_swab_barcode12	Run04_swab_barcode13	Run04_swab_barcode14	Run04_swab_barcode15	Run04_swab_barcode16	Run04_swab_barcode17	Run04_swab_barcode18	Run04_swab_barcode19	Run04_swab_barcode20	Run04_swab_barcode21	Run04_swab_barcode22	Run04_swab_barcode23	Run05_fecal_barcode01	Run05_fecal_barcode02	Run05_fecal_barcode03	Run05_fecal_barcode04	Run05_fecal_barcode05	Run05_fecal_barcode06	Run05_fecal_barcode07	Run05_fecal_barcode08	Run05_fecal_barcode09	Run05_fecal_barcode10	Run05_fecal_barcode11	Run05_fecal_barcode12	Run05_fecal_barcode13	Run05_fecal_barcode14	Run05_fecal_barcode15	Run05_fecal_barcode16	Run05_fecal_barcode17	Run05_fecal_barcode18	Run05_fecal_barcode19	Run05_fecal_barcode20	Run06_fecal_barcode01	Run06_fecal_barcode02	Run06_fecal_barcode03	Run06_fecal_barcode04	Run06_fecal_barcode05	Run06_fecal_barcode06	Run06_fecal_barcode07	Run06_fecal_barcode08	Run06_fecal_barcode09	Run06_fecal_barcode10	Run06_fecal_barcode11	Run06_fecal_barcode17	Run06_fecal_barcode18	Run06_fecal_barcode19	Run06_fecal_barcode20	Run06_fecal_barcode21	Run06_fecal_barcode22	Run06_fecal_barcode23	Run06_fecal_barcode24	Run07_fecal_barcode09	Run07_fecal_barcode10	Run07_fecal_barcode11	Run07_fecal_barcode12	Run07_fecal_barcode13	Run07_fecal_barcode14	Run07_fecal_barcode15	Run07_fecal_barcode16	Run07_fecal_barcode17	Run07_fecal_barcode18	Run07_fecal_barcode19	Run07_fecal_barcode20	Run07_fecal_barcode21	Run07_fecal_barcode22	Run07_fecal_barcode23	Run07_fecal_barcode24
Aciditerrimonas ferrireducens	115.76000839458116	79.9564478807083	42.0	80.04746266885633		123.30180467006687	84.99999967508467	78.03676136321566	169.18559552576934	19.0	164.566233096541	1067.8818484753278	34.0	69.15911136983209	193.56954113100574	84.39498550012776	60.0	79.88184291218948	194.92001967300797	115.8087542196525	46.211440686219156	63.336076240423495	64.64506647868502	85.70235083472245	63.12320575950997	33.981128001559746	80.90077555963256	83.05637044847326	16.999999306653677		17.0	40.0	32.0	42.00444566019634	80.26282200610133	143.9684036776129	185.978796451261	74.99347994449613	17.000000000000046	58.331745467231435	31.99999946175076	128.62380448111577	85.74818855648981	82.07595286959408	73.93527838865678																										40.00000000000857		31.0								19.0																																																																			
Acidothermus cellulolyticus	37.00000000011438	43.7398099022163		36.0000066253561		40.56325136375436		29.000414268780204	107.58725230904341		50.39182656162589	109.60222362803292		36.313935936411205	31.65318932027072			25.006668331900283	33.68762543185587	76.80621498474295		47.22047997157199	23.00002862830083	36.000917845724366	33.387693224937884			28.999925392584142				23.0		34.05540521531679			35.00114945171293	27.999999999999627		33.99993456897646		68.6803569663096	52.01915769132685	41.9486305918261	33.829214083715165																																					30.0																																																																		
Acidovorax carolinensis		83.13263722924692	12.0654006430609	45.958812372576716		14.383931253533778					21.541234471980623			27.402451633514904		57.014423931816786	19.245362965983094		17.006917593738898															35.34732161682061			64.04599844104658				19.93547299337109	16.907833806259088		18.495745946499838																																																																																																								
Acidovorax defluvii																																					64.98390318140041																																																																																																															
Acidovorax facilis																										68.88970203193627	150.8986696480911	20.62783927656608	14.593382645019775	281.6212552293469		374.06628180402623	66.003660364841	45.150450624409864	71.64636593697769	266.0971664393108	536.3291686532139								37.9881854586404																																																																																																							
Acidovorax radicis		178.35926035647358	59.93523707693532	276.5370685672264		72.11072420251298					96.47595040161265			105.92508856373597		72.09289034963513	140.7546391115085	75.17806691368617	136.9226260998754				13.267319535317895			34.053075638371			117.28827927874158	33.301078247587554	17.480433156338602	28.960898552901146	71.01223623399923	178.9061256109084	50.26769141571517		417.20819592443496			22.01148082940312	183.46605738153798	48.09216622295975	53.05691904626606	95.78300374899834	155.07718036860862									1.0																																																																																														
Acidovorax sp. 1608163		34.24182320182977		13.172476502757569		15.877935831046061			29.99999999881092		113.66546065286207			93.85386444529048					20.058494445635798	23.999999999999428			15.9570879389696	39.02303903618004	78.77030800393167	373.71008392593285	66.19266748151182	24.42262455897593	49.25204953407596	109.90919910567452	44.28912536791487	132.01226941001178	46.8610739727717	178.24081573336045	156.4475244705687	47.994620803241645	324.65787245590326			40.259491015857776	125.02688145463283			20.70875524909335																																																																																																								
Acidovorax sp. KKS102																																37.960621944612406					20.969383028118813																																							19.99999999999895																																																																								
Acidovorax sp. RAC01																																					52.893097396364794																																												53.00000000000002																																																																			
Acidovorax sp. T1				10.402526185594423																																																																																																																																																
Acidovorax temperans																																																						6.0	52.0						5.0											30.99999999919333																	24.0				12.0																																																							
Acidovorax valerianellae										23.99999999992355																							12.123029428388016											25.56684343767468																																																																																																								
Acidovorax wautersii											42.628021534570905			87.52069651419156					15.389855858705394							206.35381171138744	24.92603160673262	11.948047981538133	45.86655402201521	12.265436987203755	22.23044147574653			19.66668989583064	28.63841676610557		23.043984425767732				28.571524808795854			128.24051076863512																																																																																																								
Acinetobacter albensis																																																						0.9997629346171018																	49.361438795753095												31.15740936255552	15.519567015117724																																																																
Acinetobacter baumannii																																																																										853.0120886781442								14.0																																																																		
Acinetobacter calcoaceticus		22.0		17.0		34.99976688922439					84.2830015212528			95.99997314845835				20.000003428274468	54.00005481345064																14.0	73.0039977816241	14.005056546705207							89.02392792694384																																																																																																								
Acinetobacter chinensis																																																																										14.999843169906708																																																																										
Acinetobacter cumulans																																																																																			52.543865142830974																																																																	
Acinetobacter equi																																					88.54044587157419																																																																																																															
Acinetobacter guillouiae																																				18.000208682535067	28.991759606318325																																			283.0000408021767																																																																												
Acinetobacter haemolyticus																																			13.901845892857235		47.242692073280466															14.62626449959368																			14.595172717157586	532.3444058761348								28.0			95.06999814340388																																																																	
Acinetobacter johnsonii																																			15.098154107142761	33.010285191028274	22.795509486301608													135.5063759117281		46.37373550040632		2.0					15.0				25.0			62.0					168.59858497130128	1688.8515500580854	68.0	83.98874266525482	41.0	17.16739676170332					38.00680710498103	33.87229591039041	393.8270565968088	81.62552644991291	30.0	417.04083956591904	30.906246261915282	31.89139691704295	34.994336875279664	47.999990032109785	12.000001584588617	42.0																																																								
Acinetobacter junii																																																						1.0																																10.997670707366073																																																														
Acinetobacter lwoffii																																	16.0				266.4477141019683																21.0	1.0002370653828982				19.0				38.0	12.000000000000002		39.0		28.0				84.92576238153745	145.38532284327792	30.0	27.999325486694325		96.83260323829668		32.0			16.99319289501897	106.12770436994282	155.6248311552383	210.77616342470373			34.093753738084715	39.108603082957046	38.00566312472034	13.000009967890215	16.999998415411383																																																									
Acinetobacter marinus																																																																																						39.99999981619821																																																														
Acinetobacter pullicarnis																																																																																		26.999999719666793																																																																		
Acinetobacter sp. SWBY1																																																							10.0																																																																																													
Acinetobacter sp. TTH0-4																																															1.0																								23.60961513658804	392.3574861568002																																																																												
Acinetobacter sp. WCHA45																																																																																			11.9999975890412																																																																	
Acinetobacter sp. WCHA55																																																		16.493624088271865																											12.0							13.078743110265632		17.96148991051661																																																														
Acinetobacter sp. WCHAc010052																																																																							35.9094259976624												22.77684201012137																																																																	
Acinetobacter tjernbergiae																																																																								55.061194263522346																																																																												
Acinetobacter ursingii																																																																										18.0																																																																										
Actimicrobium antarcticum																														27.76608095417816		50.8939130067229			22.825467508574228	133.2834655548954																																																																																																																
Actinobacteria bacterium IMCC26256	16.183739894433582	13.654887939403935							40.019105156394296		17.62602775254443	90.72089168793973			14.90942845938433					13.003312427613595	15.841828335442749	14.999675092801935			10.588909625874317		12.999999958226233							18.01861111501843		16.9999997321094	23.999150377990972			20.05918687911613		25.471654927782435	14.229184900908143	17.659116563185606	12.636782778745165																																																																																																							
Actinocorallia longicatena												13.999999999999998																																																																																																																																								
Actinomyces naeslundii																																																										22.0								26.0																																																																															27.0			
Actinomycetospora chlora																																																																																													66.0																																																							
Actinoplanes nipponensis												30.000000000465388																																																																																																																																								
Adhaeribacter aerolatus												10.43326841058257																								19.000002430758467	14.271522550958798																																												13.0																																																																			
Adhaeribacter aquaticus												18.14475051968446								15.026097311224847																																																																																																																																
Adhaeribacter swui				20.0		26.999999999416193			23.900334155763048		28.06515912926639	55.41310594201035		13.000000000000824						19.00187436648392					74.98487989221677		20.9829541032755	12.999999999999995									19.47773572566172			15.997313321490466		27.51451459778332		21.31311271004588																																																																																																								
Adhaeribacter terrae		12.18416365928475							11.199176847205868		26.481064248632546											18.107382350434662			16.482043860324907		16.14769444778812		29.103151596799755				13.753298077166937	23.80927011055721			35.36672361485022				27.006988080473537			27.594421434685092																																																																																																								
Adhaeribacter terreus	19.0	15.81583634071525						15.99999995399183	23.9012954186452		22.495732258475126														11.19123563148165		21.89953682495603						15.24669348917368	26.904577724200877	16.31695019575887	20.001034829615488	27.505521135979123					18.974367850862368		27.516702713330588																																																																																																								
Aerococcus sanguinicola																																																																																			10.999883677365403																																																																	
Aerococcus urinaeequi																																																		69.98357512651212												19.0									33.0935055999593		13.0	20.0	15.0		7.0						14.000116322634597					39.32474874003846																																																												
Aerococcus viridans																																																		14.016424873487829																					10.906399384197183					13.0												11.675251259961538																																																												
Aeromicrobium ginsengisoli											21.0	63.00005611965221			14.000000000009367				12.0																	12.999999999999998	28.000029055812753																																																																																																															
Aeromonas caviae																																																		65.18692763984556																																				62.0																																																														
Aeromonas encheleia																																		26.01952986214864							21.0																																																																																																											
Aeromonas eucrenophila																													14.408155472070105																																																																																																																							
Aeromonas media																																		34.97198292991488																																					24.60900198412292								11.0				30.609828243679072																																																																	
Aeromonas rivipollensis																															26.0		23.0	19.00848720793648																																					32.39099801587709	22.0												15.0																																																																
Aeromonas salmonicida																																																				26.0																			20.0	391.0											25.00381808404886																																																																	
Aeromonas sp. ASNIH5																																																		14.813072360154454																																																																																																		
Aeromonas sp. CU5																																																																																			13.006660540419352																																																																	
Aeromonas veronii																													85.59184452792994																																																						45.37969313185271																																																																	
Aerosticca soli									25.39501962237436						20.00854946227273	15.189189377819474	22.841962227656552	20.887536127807827	70.1336955696302																					31.95090603618733	18.054981988823915																																																																																																											
Aestuariispira insulae																																																																																																										39.22407280804893																				28.0														17.211973192965573								
Aetherobacter rufus			16.919506863396034	531.2945920103282		13.977512277409039			10.417309818100788	17.15959758601037	72.29995313356802			39.026695553344325				593.0009495457385	10.960874024037494	85.21529513976948	23.032127389489013	17.464188570175928	33.05833076176461	34.17842282203675				15.320567371705124									17.305915950875875		12.068075910807767		12.829806917494727	13.86015808987787	16.16112666861503	14.927336207955886	26.86356062142764																																																																																																							
Afifella pfennigii				16.951951416413564								56.92283151364112			70.52279939225977					16.000001183658892																						14.000001070086553																																																																																																										
Afipia birgiae																							30.782128301877695	18.488436270699182			71.37266428564836									79.82546470254522									12.315527339331082																																																																																																							
Agathobaculum butyriciproducens																																																																																														14.323433784704564	16.62129652422245		13.934125496945098	34.95133863687543	43.1222912667269	24.116993656666033		29.684444050706873	23.709061800107516	12.01156045292346		15.022807796196554			43.549471315084894					17.49513544779973	12.999038499122687	42.63345295163824	47.88572446698449	35.67970712993044	14.752130117792593			14.465573885386114	19.98885122529661	25.253597194522392				11.783021878465778	16.11740868377304	14.838484253267698	20.25159980163244			63.038425942950475	119.32535216813368	68.31261367355232	75.23672210464903	33.93265075179827	83.9453134223133	106.76920001118212	28.98865213075563	48.925951330039645	92.40784097198494	86.17047527957243		51.2815248795889	112.14820259989008	98.65253065449032
Agathobaculum desmolans																																																																																							10.0							10.843524306276814	25.76718317361017			19.005617091274797				30.44363325698181														45.53790991187771	34.00035841280323		19.99988920008605			10.524659179526266				13.0				11.042994629758377	23.441015443974763	153.0		11.312224413614313			42.29151361536855		15.653907146554928			11.624192364888994		30.80402052755704			42.34452346633574	32.8034023851036
Aggregatibacter aphrophilus																																																																		118.68754631920142											17.000000000007724								19.0																																																												191.0398267246452			
Aggregatibacter segnis																																																1.0										52.31811141550787					10.0			439.3124577760816					215.83944144293477	11.0	15.999999999999998	19.999978941336803			13.99999999999228		15.0		120.99999818385638					36.0																						12.0																																					534.7640069907152			
Aggregicoccus edonensis						17.925213236009263									20.317398910856127																									33.377511990819244				15.989908899294072	15.578502120202813																																																																																																							
Agrobacterium fabrum						46.539857570306104				45.0	57.91017055974321							34.436225714185966			11.765843117034409		51.107971286422206	45.49364506369214			16.214345915176803	135.3559907398907								47.06377461737813	14.307631391116006							14.768546904102767	1047.5236410270236	1.0																																			5244.951512611057	39.615023668038134																																																																		
Agrobacterium larrymoorei																									19.999432260994023																			24.073707577129845																											13.0										173.13287830798424																																																														20.729543151426206					
Agrobacterium rubi															20.359393649072207	17.612360555283498							29.998779998104588	18.03572524500128													49.213318754895525							62.93908408069426	18.520083056556608																																				27.427449995697803																											56.05886011291694																																								
Agrobacterium sp. H13-3																																																																																	488.68001102884557																																																																			
Agrobacterium sp. RAC06																							21.07052874860132																						13.149978403014073																																				21.01336858614291																																																																			
Agrobacterium sp. T29																																																																																	30.303089693137366																																																																			
Agrobacterium tumefaciens		30.19122899018128	33.92148135520165	57.03803932375875		32.69093434252821	65.6088019104359	18.016683030932807			352.49572132351756			66.19829392786137	42.21078325458119	48.414775921666326		127.53353726067324	17.769798363199275		124.510995596006		142.2458856453531	55.140359126724434	31.869067200203272	39.52737232518561	47.83859746525373	176.18010032998055	40.09335282128096	31.92707272139235		39.3041726923928	28.8007137286548	49.742692139353764	52.619546449763575	187.07266467657192	174.5173494032993		27.16439583476968	17.897452975362267				82.9596751809059	1194.4781389965335		2.000144079263627			25.0				2.0																		14.000000000000002	23.0	72.0		17.00000000000621	18.0		12.0		6890.315755216225	108.18015517100685	33.999980054837835	34.0		44.99999999999999	19.0	13.000972262064176	17.0		13.000000168663444	22.0																																																								
Agrobacterium vitis																																																																																	55.94984561649185																																																																			
Agrococcus jenensis																																																																																	12.0																																																																			
Agromyces fucosus																																					20.999999999929546																																																																																																															
Agromyces iriomotensis												17.578042251608473																																																																																																																																								
Agromyces ramosus											35.999999999999964	31.433221777144706																																																																																																																																								
Agromyces sp. MF30-A												20.988736631050507																																																																																																																																								
Ahniella affigens	20.999999998487468	41.635738174583246				18.973460966192352			37.82051122809136					14.99782216530952					21.583644434801677						18.99999804897268	108.99999992904623	37.006251659943814	16.35260832819634			42.0	22.026754916647466	16.000003619046687	83.73549136622631	46.0195804148514	35.229015548676635	47.94848772440368			30.01804373509715		16.86927673965026	16.999999356022833	13.999986123128636																																																																																																								
Akkermansia muciniphila																																																																																																							13.0																92.00000000000013												14.0					73.00000000024754												16.0
Albibacterium bauzanense		14.999431471252711																																																																																																																																																		
Albidovulum xiamenense																																																																																													24.52211944376284																																																							
Alcaligenes faecalis																																																			17.0																																																																																																	
Algisphaera agarilytica				11.074490730634198															11.000564718119456								19.77170557312502	15.009704970705409								18.06296403169469	11.036920412607882					14.386312018954316																																																																																																										
Algoriphagus boritolerans						59.42878393975252					24.08395383244468			27.45017474657323					26.258529995089678			78.88020693864334	26.957271420875678	42.687291135974995																		47.48412700136141	27.622999516622876																																																																																																									
Algoriphagus boseongensis	68.57042469513718		37.41963880906466	33.0185457094776		202.8605849382759	27.95908250216878	24.00000013354137	59.16157982327218	30.0	83.08994044847972	26.412725611521346	27.0	30.619007747493598	28.000000000043567		19.0	40.37381133692208	78.31298325941151	35.35457295156906	22.0	128.12079104539956	53.900907451910385	62.853590044609874	28.652873013277127	28.711459654060302		52.99994454564503	19.601013350291336			25.941925342720875		33.09746160019015	24.82640685028096	23.999228895873376	66.01162951694944	51.00000000000001	26.00033140788397	10.844276007316878	43.64136266765762	104.0167155414337	78.31249423131155	23.02067843964657																																																																																																								
Algoriphagus confluentis																						30.652235029480057																																																																																																																														
Algoriphagus locisalis																						18.078790817329875																																																																																																																														
Algoriphagus resistens						22.773018726271822																																																																																																																																														
Algoriphagus sanaruensis	20.572977751314863	23.000000002293945	11.58036119093534	29.07792005000977		80.57724357169155	42.0409175149572		28.894655670009108		35.77906839739734	19.587274393946927		15.678076159712043		48.06545111794117		34.17270457905152	46.35143777696161	18.645133811201614		42.94101708879907	33.18408789289125	29.192734299005195		21.28899590767864														24.169088333214173	20.465912108264455	62.05872394083273	28.052487528624173																																																																																																									
Algoriphagus terrigena																											15.0		24.30113016861371					12.0	14.0		27.00000000119657				19.000000002803862																																																																																																											
Algoriphagus winogradskyi						35.52859321856124																27.433300464907408																																																																																																																														
Alienimonas californiensis		13.000000000000147		18.0								21.858553877258373		17.000000099361102	23.986274289989144												23.00027216542419	13.998848235659732						21.002529313150553	12.032046536783488	13.995278701700311	108.46151204947049	17.00000011564949		15.982151105870006																																																																																																												
Aliicoccus persicus																																																																							23.0						1.0			11.0																																																																				
Aliidiomarina soli		37.0																																																																																																																																																		
Aliidongia dinghuensis		20.91420594425512		37.35408657032536		17.8854725723616	44.26103775321603	17.81068440979377	28.89225704238201		16.635922179583805	23.92878909930177			39.80097656400741	19.43685472087667		12.023293916138421	18.671715541297147	49.59992404378688	15.192540810792005	18.924841221053114	16.283322353530757		34.35073570973743			54.02149204392831						17.189181059044603	13.39628947826272			26.592391767401036	24.20931352334759	23.40746696904673		45.69650238217079	17.641654095742844																																																																																											89.75789170814994			32.0						37.12338232166178					273.5542513766299
Aliifodinibius halophilus																																																																							14.0																																																																													
Aliihoeflea aestuarii																													35.06844600713592												21.0																																																														24.000004948062486																																													
Alishewanella fetalis																																																											13.000000000000002															42.0									11.0				22.0																																																													
Alishewanella jeotgali																																			29.999999313386144																																																																																																																	
Alishewanella solinquinati																																															1.0																																																																																																					
Alistipes communis																																																																																																									11.00000001755932																																											
Alistipes finegoldii																																																																																																	14.383301336716436																																			34.0																
Alistipes ihumii																																																																																																									17.0																																											
Alistipes onderdonkii																																																																																																																																												13.872777226868672								
Alistipes putredinis																																																																																															48.0		42.0						33.0		35.00000000154152	37.0															11.000000000000002															85.82060535661458	49.541961520629066	32.96970362736639		53.218849377563494	14.0					15.999999999482247		
Alistipes senegalensis																																																																																																																																								27.576470213251213												
Alistipes shahii																																																																																																									12.999999999999998																															22.013134249352213				18.91245912567719								
Aliterella antarctica		16.827024928007145									41.60294340574856	36.99451268456275		23.593021592300246	20.700674995923887					18.88522666964704			14.220846029874425									22.85624488816133												31.077564873619128										2.0003175726315425	18.0						25.0									3.0	29.43210341186892						14.0	28.000001292609774		15.0000000001016				13.017721220504274						10.999910247801989		18.03659292571242																																																								
Alkalibacillus almallahensis																																																																								12.0																																																																												
Alkalibacterium pelagium																																																										29.0																																																																																										
Alkaliflexus imshenetskii																																																						1.0																																																																																		29.63327172499353												
Alkalihalobacillus berkeleyi																																								35.00000000000001																																																																																																												
Alkalihalobacillus clausii																																																																																												11.0																																																								
Alkalihalobacillus murimartini																																								23.99936672709631																																									148.0																																																																			
Alkalihalobacillus pseudalcaliphilus																																									10.0																																																																																																											
Alkaliphilus halophilus																													18.0																																																																																																																							
Alkaliphilus oremlandii									17.0					19.88332774858632																																																																																																																																						
