genus	Run01_soil_barcode01	Run01_soil_barcode02	Run01_soil_barcode03	Run01_soil_barcode04	Run01_soil_barcode05	Run01_soil_barcode06	Run01_soil_barcode07	Run01_soil_barcode08	Run01_soil_barcode09	Run01_soil_barcode10	Run01_soil_barcode11	Run01_soil_barcode12	Run01_soil_barcode13	Run01_soil_barcode14	Run01_soil_barcode15	Run01_soil_barcode16	Run01_soil_barcode17	Run01_soil_barcode18	Run01_soil_barcode19	Run01_soil_barcode20	Run01_soil_barcode21	Run01_soil_barcode22	Run01_soil_barcode23	Run01_soil_barcode24	Run02_soil_barcode01	Run02_soil_barcode02	Run02_soil_barcode03	Run02_soil_barcode04	Run02_soil_barcode05	Run02_soil_barcode06	Run02_soil_barcode07	Run02_soil_barcode08	Run02_soil_barcode09	Run02_soil_barcode10	Run02_soil_barcode11	Run02_soil_barcode12	Run02_soil_barcode13	Run02_soil_barcode14	Run02_soil_barcode15	Run02_soil_barcode16	Run02_soil_barcode17	Run02_soil_barcode18	Run02_soil_barcode19	Run02_soil_barcode20	Run02_soil_barcode21	Run02_soil_barcode22	Run03_swab_barcode01	Run03_swab_barcode02	Run03_swab_barcode03	Run03_swab_barcode04	Run03_swab_barcode05	Run03_swab_barcode06	Run03_swab_barcode07	Run03_swab_barcode08	Run03_swab_barcode09	Run03_swab_barcode10	Run03_swab_barcode11	Run03_swab_barcode12	Run03_swab_barcode13	Run03_swab_barcode14	Run03_swab_barcode15	Run03_swab_barcode16	Run03_swab_barcode17	Run03_swab_barcode18	Run03_swab_barcode19	Run03_swab_barcode20	Run03_swab_barcode21	Run03_swab_barcode22	Run03_swab_barcode23	Run03_swab_barcode24	Run04_swab_barcode01	Run04_swab_barcode02	Run04_swab_barcode03	Run04_swab_barcode04	Run04_swab_barcode05	Run04_swab_barcode06	Run04_swab_barcode07	Run04_swab_barcode08	Run04_swab_barcode09	Run04_swab_barcode10	Run04_swab_barcode11	Run04_swab_barcode12	Run04_swab_barcode13	Run04_swab_barcode14	Run04_swab_barcode15	Run04_swab_barcode16	Run04_swab_barcode17	Run04_swab_barcode18	Run04_swab_barcode19	Run04_swab_barcode20	Run04_swab_barcode21	Run04_swab_barcode22	Run04_swab_barcode23	Run05_fecal_barcode01	Run05_fecal_barcode02	Run05_fecal_barcode03	Run05_fecal_barcode04	Run05_fecal_barcode05	Run05_fecal_barcode06	Run05_fecal_barcode07	Run05_fecal_barcode08	Run05_fecal_barcode09	Run05_fecal_barcode10	Run05_fecal_barcode11	Run05_fecal_barcode12	Run05_fecal_barcode13	Run05_fecal_barcode14	Run05_fecal_barcode15	Run05_fecal_barcode16	Run05_fecal_barcode17	Run05_fecal_barcode18	Run05_fecal_barcode19	Run05_fecal_barcode20	Run06_fecal_barcode01	Run06_fecal_barcode02	Run06_fecal_barcode03	Run06_fecal_barcode04	Run06_fecal_barcode05	Run06_fecal_barcode06	Run06_fecal_barcode07	Run06_fecal_barcode08	Run06_fecal_barcode09	Run06_fecal_barcode10	Run06_fecal_barcode11	Run06_fecal_barcode17	Run06_fecal_barcode18	Run06_fecal_barcode19	Run06_fecal_barcode20	Run06_fecal_barcode21	Run06_fecal_barcode22	Run06_fecal_barcode23	Run06_fecal_barcode24	Run07_fecal_barcode09	Run07_fecal_barcode10	Run07_fecal_barcode11	Run07_fecal_barcode12	Run07_fecal_barcode13	Run07_fecal_barcode14	Run07_fecal_barcode15	Run07_fecal_barcode16	Run07_fecal_barcode17	Run07_fecal_barcode18	Run07_fecal_barcode19	Run07_fecal_barcode20	Run07_fecal_barcode21	Run07_fecal_barcode22	Run07_fecal_barcode23	Run07_fecal_barcode24
Aciditerrimonas	115.76000839458116	79.9564478807083	42.0	80.04746266885633		123.30180467006687	84.99999967508467	78.03676136321566	169.18559552576934	19.0	164.566233096541	1067.8818484753278	34.0	69.15911136983209	193.56954113100574	84.39498550012776	60.0	79.88184291218948	194.92001967300797	115.8087542196525	46.211440686219156	63.336076240423495	64.64506647868502	85.70235083472245	63.12320575950997	33.981128001559746	80.90077555963256	83.05637044847326	16.999999306653677		17.0	40.0	32.0	42.00444566019634	80.26282200610133	143.9684036776129	185.978796451261	74.99347994449613	17.000000000000046	58.331745467231435	31.99999946175076	128.62380448111577	85.74818855648981	82.07595286959408	73.93527838865678																										40.00000000000857		31.0								19.0																																																																			
Acidothermus	37.00000000011438	43.7398099022163		36.0000066253561		40.56325136375436		29.000414268780204	107.58725230904341		50.39182656162589	109.60222362803292		36.313935936411205	31.65318932027072			25.006668331900283	33.68762543185587	76.80621498474295		47.22047997157199	23.00002862830083	36.000917845724366	33.387693224937884			28.999925392584142				23.0		34.05540521531679			35.00114945171293	27.999999999999627		33.99993456897646		68.6803569663096	52.01915769132685	41.9486305918261	33.829214083715165																																					30.0																																																																		
Acidovorax		295.7337207875503	72.00063771999622	346.07088362815506		102.37259128709282			29.99999999881092	23.99999999992355	274.31066706102627			314.7021011567329		129.10731428145192	160.00000207749162	75.17806691368617	189.3778939979555	23.999999999999428			29.224407474287496	39.02303903618004	78.77030800393167	683.0066733076275	242.01736873633553	56.99851181708014	227.00026547985252	437.09696956981276	84.0	573.0000717115515	195.99999999999994	457.31140348132993	306.9999985893671	314.0917872425524	1504.1316035062503			62.270971845260895	356.9999366383377	65.00000002921884	53.05691904626606	288.79485915090135	193.06536582724902									7.0	52.0						5.0											30.99999999919333				19.99999999999895					53.00000000000002								24.0				12.0																																																							
Acinetobacter		22.0		17.0		34.99976688922439					84.2830015212528			95.99997314845835				20.000003428274468	54.00005481345064														16.0		43.0	124.01449165518744	468.02317768614813							89.02392792694384			1.0			151.99999999999997		61.0	21.0	5.0	10.0			19.0	15.0			38.0	37.0		39.0	62.0	28.0				376.9999999999999	3096.999999999998	98.0	998.0000000000001	41.0	114.0	12.0	32.0		28.0	55.0	181.00000000000003	763.0000000000001	321.0	30.0	485.99999999999994	65.0	71.0	73.0	61.0	29.0	42.0																																																								
Actimicrobium																														27.76608095417816		50.8939130067229			22.825467508574228	133.2834655548954																																																																																																																
Actinocorallia												13.999999999999998																																																																																																																																								
Actinomyces																																																										22.0								26.0																																																																															27.0			
Actinomycetospora																																																																																													66.0																																																							
Actinoplanes												30.000000000465388																																																																																																																																								
Adhaeribacter	19.0	28.0		20.0		26.999999999416193		15.99999995399183	59.00080642161412		77.04195563637407	83.99112487227738		13.000000000000824						34.02797167770877		18.107382350434662			102.65815938402332		59.030185376019645	12.999999999999995	29.103151596799755				28.99999156634062	50.713847834758084	16.31695019575887	39.001037260373955	96.62150302744986			15.997313321490466	27.006988080473537	46.48888244864569		76.42423685806156																																					13.0																																																																			
Aerococcus																																																		83.99999999999994												19.0									43.99990498415649		13.0	20.0	15.0	13.0	7.0						25.0					51.0																																																												
Aeromicrobium											21.0	63.00005611965221			14.000000000009367				12.0																	12.999999999999998	28.000029055812753																																																																																																															
Aeromonas																													100.00000000000004		26.0		23.0	80.0							21.0									80.00000000000001		26.0																			77.0	413.0							11.0				114.0	15.0		62.0																																																														
Aerosticca									25.39501962237436						20.00854946227273	15.189189377819474	22.841962227656552	20.887536127807827	70.1336955696302																					31.95090603618733	18.054981988823915																																																																																																											
Aestuariispira																																																																																																										39.22407280804893																				28.0														17.211973192965573								
Aetherobacter			16.919506863396034	531.2945920103282		13.977512277409039			10.417309818100788	17.15959758601037	72.29995313356802			39.026695553344325				593.0009495457385	10.960874024037494	85.21529513976948	23.032127389489013	17.464188570175928	33.05833076176461	34.17842282203675				15.320567371705124									17.305915950875875		12.068075910807767		12.829806917494727	13.86015808987787	16.16112666861503	14.927336207955886	26.86356062142764																																																																																																							
Afifella				16.951951416413564								56.92283151364112			70.52279939225977					16.000001183658892																						14.000001070086553																																																																																																										
Afipia																							30.782128301877695	18.488436270699182			71.37266428564836									79.82546470254522									12.315527339331082																																																																																																							
