sample_id,sample_type,step0_raw,step1_filtered,step1_pct,step2_trimmed,step2_pct,step5_otu97,step5_pct,silva_filtered,silva_pct,gg2_filtered,gg2_pct,emu_classified,emu_classified_pct,emu_unclassified,emu_total_mapped_pct
Run02_soil_barcode22,Soil,2,2,100.0,2,100.0,2,100.0,0,0.0,1,50.0,1,50.0,1,100.0
Run03_swab_barcode01,Swab,425,398,93.6,398,100.0,398,100.0,192,48.2,366,92.0,354,83.3,43,93.4
Run03_swab_barcode02,Swab,187,181,96.8,181,100.0,181,100.0,102,56.4,128,70.7,172,92.0,9,96.8
Run03_swab_barcode03,Swab,1593,1533,96.2,1533,100.0,1533,100.0,714,46.6,1155,75.3,969,60.8,562,96.1
Run03_swab_barcode04,Swab,3861,3733,96.7,3733,100.0,3733,100.0,1812,48.5,2717,72.8,2700,69.9,1031,96.6
Run03_swab_barcode05,Swab,50,47,94.0,47,100.0,47,100.0,28,59.6,33,70.2,45,90.0,2,94.0
Run03_swab_barcode06,Swab,1753,1688,96.3,1688,100.0,1688,100.0,848,50.2,1343,79.6,657,37.5,1031,96.3
Run03_swab_barcode07,Swab,1933,1881,97.3,1881,100.0,1881,100.0,907,48.2,1374,73.0,1515,78.4,366,97.3
Run03_swab_barcode08,Swab,976,945,96.8,945,100.0,945,100.0,470,49.7,831,87.9,866,88.7,77,96.6
Run03_swab_barcode09,Swab,123,116,94.3,116,100.0,116,100.0,54,46.6,106,91.4,114,92.7,2,94.3
Run03_swab_barcode10,Swab,5817,5626,96.7,5626,100.0,5626,100.0,2923,52.0,5307,94.3,5017,86.2,608,96.7
Run03_swab_barcode11,Swab,2795,2712,97.0,2712,100.0,2712,100.0,1412,52.1,2366,87.2,2087,74.7,622,96.9
Run03_swab_barcode12,Swab,14071,13620,96.8,13620,100.0,13620,100.0,6861,50.4,11351,83.3,10808,76.8,2811,96.8
Run03_swab_barcode13,Swab,23193,22389,96.5,22389,100.0,22389,100.0,11424,51.0,20470,91.4,20659,89.1,1730,96.5
Run03_swab_barcode14,Swab,38,37,97.4,37,100.0,37,100.0,18,48.6,33,89.2,36,94.7,1,97.4
Run03_swab_barcode15,Swab,99,94,94.9,94,100.0,94,100.0,49,52.1,80,85.1,93,93.9,1,94.9
Run03_swab_barcode16,Swab,20818,20273,97.4,20273,100.0,20273,100.0,10428,51.4,16365,80.7,17948,86.2,2325,97.4
Run03_swab_barcode17,Swab,3173,3084,97.2,3084,100.0,3084,100.0,1554,50.4,2764,89.6,2117,66.7,963,97.1
Run03_swab_barcode18,Swab,1983,1917,96.7,1917,100.0,1917,100.0,927,48.4,1589,82.9,1441,72.7,475,96.6
Run03_swab_barcode19,Swab,3752,3607,96.1,3607,100.0,3607,100.0,1831,50.8,3141,87.1,3119,83.1,487,96.1
Run03_swab_barcode20,Swab,25023,24276,97.0,24276,100.0,24276,100.0,11951,49.2,18845,77.6,23068,92.2,1207,97.0
Run03_swab_barcode21,Swab,20742,20066,96.7,20066,100.0,20066,100.0,10189,50.8,13347,66.5,18901,91.1,1163,96.7
